size_bytes,user_rating,user_rating_mark
704336896,4.5,high
21434368,4.5,high
469181440,0.0,low
226834432,4.5,high
133238784,3.5,medium
49191936,5.0,high
480781312,0.0,low
131387392,4.5,high
34338816,0.0,low
83139584,0.0,low
145988608,4.5,high
116933632,4.5,high
261696512,2.0,low
328126464,5.0,high
56014848,4.5,high
386340864,3.5,medium
133124096,4.5,high
137375744,4.5,high
210450432,2.0,low
30796800,3.0,low
14261248,0.0,low
113510400,4.5,high
75580416,4.5,high
111525888,4.0,medium
760836096,4.5,high
38459392,4.5,high
43587584,0.0,low
100336640,4.5,high
50076672,0.0,low
64337920,5.0,high
129079296,4.5,high
81051648,0.0,low
31358976,4.0,medium
140864512,5.0,high
78624768,2.5,low
83843072,4.5,high
270014464,4.0,medium
11540480,1.5,low
157441024,4.5,high
18264064,0.0,low
205922304,0.0,low
96925696,4.5,high
176737280,4.0,medium
111337472,3.5,medium
278811648,5.0,high
1738707968,4.5,high
124692480,4.5,high
23707648,3.5,medium
17226765,4.0,medium
247033856,4.5,high
248512512,3.5,medium
91865088,4.5,high
754333696,3.5,medium
1428322304,4.5,high
15154176,4.5,high
150142976,4.5,high
610469888,3.5,medium
43646976,4.5,high
132009984,4.0,medium
70040576,0.0,low
33418240,5.0,high
3968637952,0.0,low
1098042368,4.5,high
112073728,4.5,high
49524736,4.5,high
20853760,4.5,high
74385408,2.0,low
119754752,4.0,medium
121268224,3.5,medium
67928064,5.0,high
91312128,4.5,high
49201152,3.0,low
162561024,4.0,medium
69612544,0.0,low
123356160,4.5,high
109892608,4.5,high
149581824,4.0,medium
438824960,5.0,high
49776640,3.5,medium
86456320,4.5,high
87960576,3.5,medium
46033920,4.5,high
93643776,4.5,high
98934784,4.0,medium
6373376,0.0,low
30977024,2.5,low
18821120,4.5,high
15518720,4.0,medium
147597312,4.5,high
13564835,3.5,medium
135252992,4.0,medium
344064000,4.5,high
78622720,2.5,low
35266560,4.0,medium
10426368,4.5,high
173878272,4.0,medium
132153344,4.5,high
168200192,5.0,high
253834240,4.0,medium
327118848,3.5,medium
57694208,3.5,medium
131257344,4.5,high
6915072,4.0,medium
39937024,3.5,medium
384330752,2.5,low
29597696,0.0,low
85724160,4.5,high
80967680,3.0,low
162522112,4.5,high
87851008,5.0,high
8078336,3.0,low
26862592,1.5,low
6189056,4.5,high
224924672,4.0,medium
58110976,3.5,medium
140282880,5.0,high
37001216,3.5,medium
139218944,2.5,low
133537792,4.0,medium
260106240,4.5,high
83817472,4.5,high
43324416,4.0,medium
7477248,3.5,medium
137282560,4.5,high
164665344,4.5,high
40216576,4.5,high
259817472,0.0,low
246142976,4.5,high
404678656,5.0,high
72655872,4.5,high
66599936,3.5,medium
18165760,4.0,medium
997171200,3.5,medium
126493696,4.5,high
1269152768,4.0,medium
109448192,4.5,high
72806400,2.0,low
90272768,4.5,high
42371072,4.0,medium
