Position,Squad number,Full name,Date of birth,Market value (in euros)
Goalkeeper,1,Evgeniy Latyshonok,1998-06-21,2500000
Goalkeeper,16,Denis Adamov,1998-02-20,900000
Goalkeeper,41,Mikhail Kerzhakov,1987-01-28,400000
Centre-Back,25,Strahinja Erakovic,2001-01-22,10000000
Centre-Back,27,Nino,1997-04-10,10000000
Centre-Back,55,Rodrigão,1995-09-11,4500000
Centre-Back,28,Nuraly Alip,1999-12-22,3000000
Centre-Back,2,Dmitriy Chistyakov,1994-01-13,1500000
Left-Back,3,Douglas Santos,1994-03-22,12000000
Left-Back,4,Yuriy Gorshkov,1999-03-13,2800000
Right-Back,15,Vyacheslav Karavaev,1995-05-20,5000000
Right-Back,82,Sergey Volkov,2002-09-09,4500000
Defensive Midfield,5,Wilmar Barrios,1993-10-16,12000000
Defensive Midfield,79,Dmitriy Vasiljev,2004-06-16,700000
Central Midfield,8,Wendel,1997-08-28,20000000
Attacking Midfield,11,Claudinho,1997-01-28,18000000
Attacking Midfield,77,Ilzat Akhmetov,1997-12-31,2500000
Attacking Midfield,21,Aleksandr Erokhin,1989-10-13,400000
Left Winger,24,Pedro,2006-02-05,9000000
Left Winger,17,Andrey Mostovoy,1997-11-05,3500000
Right Winger,9,Artur,1998-02-15,10000000
Right Winger,31,Gustavo Mantuan,2001-06-20,2500000
Second Striker,67,Maksim Glushenkov,1999-07-28,16000000
Centre-Forward,30,Mateo Cassierra,1997-04-13,11000000
Centre-Forward,32,Luciano Gondou,2001-06-22,11000000
Centre-Forward,7,Aleksandr Sobolev,1997-03-07,7500000
